audio_file,duration_ms,segment_number,item_id,genero,fonologia,list,spl_exp,spa_sniy,que_ykuna
p_8b_seg7.wav,1758.57,7,item_16p,,,1,plu,0.0,1.0
p_8b_seg8.wav,2133.13,8,item_16p,,,1,plu,0.0,1.0
p_9a_seg1.wav,5434.42,1,item_17p,,,1,plu,1.0,0.0
p_9a_seg2.wav,1160.23,2,item_17p,,,1,plu,1.0,0.0
p_9a_seg3.wav,962.61,3,item_17p,,,1,plu,1.0,0.0
p_9a_seg4.wav,1332.36,4,item_17p,,,1,plu,1.0,0.0
p_9a_seg5.wav,873.38,5,item_17p,,,1,plu,1.0,0.0
p_9a_seg6.wav,1376.98,6,item_17p,,,1,plu,1.0,0.0
p_9a_seg7.wav,1982.61,7,item_17p,,,1,plu,1.0,0.0
p_9a_seg8.wav,1963.47,8,item_17p,,,1,plu,1.0,0.0
p_10b_seg1.wav,5026.85,1,item_20p,,,1,plu,0.0,1.0
p_10b_seg2.wav,824.4,2,item_20p,,,1,plu,0.0,1.0
p_10b_seg3.wav,1436.03,3,item_20p,,,1,plu,0.0,1.0
p_10b_seg4.wav,1535.78,4,item_20p,,,1,plu,0.0,1.0
p_10b_seg5.wav,977.3,5,item_20p,,,1,plu,0.0,1.0
p_10b_seg6.wav,1342.97,6,item_20p,,,1,plu,0.0,1.0
p_10b_seg7.wav,1741.86,7,item_20p,,,1,plu,0.0,1.0
p_10b_seg8.wav,1808.34,8,item_20p,,,1,plu,0.0,1.0
p_11a_seg1.wav,5434.42,1,item_21p,,,1,plu,1.0,0.0
p_11a_seg2.wav,1129.34,2,item_21p,,,1,plu,1.0,0.0
p_11a_seg3.wav,975.65,3,item_21p,,,1,plu,1.0,0.0
p_11a_seg4.wav,1496.89,4,item_21p,,,1,plu,1.0,0.0
p_11a_seg5.wav,848.68,5,item_21p,,,1,plu,1.0,0.0
p_11a_seg6.wav,1336.51,6,item_21p,,,1,plu,1.0,0.0
p_11a_seg7.wav,2058.21,7,item_21p,,,1,plu,1.0,0.0
p_11a_seg8.wav,2637.41,8,item_21p,,,1,plu,1.0,0.0
p_12b_seg1.wav,5502.36,1,item_24p,,,1,plu,0.0,1.0
p_12b_seg2.wav,1453.81,2,item_24p,,,1,plu,0.0,1.0
p_12b_seg3.wav,932.09,3,item_24p,,,1,plu,0.0,1.0
p_12b_seg4.wav,1662.47,4,item_24p,,,1,plu,0.0,1.0
p_12b_seg5.wav,925.15,5,item_24p,,,1,plu,0.0,1.0
p_12b_seg6.wav,1126.87,6,item_24p,,,1,plu,0.0,1.0
p_12b_seg7.wav,1899.0,7,item_24p,,,1,plu,0.0,1.0
p_12b_seg8.wav,2365.03,8,item_24p,,,1,plu,0.0,1.0
p_13a_seg1.wav,5094.78,1,item_25p,,,1,plu,1.0,0.0
p_13a_seg2.wav,1144.67,2,item_25p,,,1,plu,1.0,0.0
p_13a_seg3.wav,995.37,3,item_25p,,,1,plu,1.0,0.0
p_13a_seg4.wav,1461.95,4,item_25p,,,1,plu,1.0,0.0
p_13a_seg5.wav,982.93,5,item_25p,,,1,plu,1.0,0.0
p_13a_seg6.wav,1200.66,6,item_25p,,,1,plu,1.0,0.0
p_13a_seg7.wav,1860.11,7,item_25p,,,1,plu,1.0,0.0
p_13a_seg8.wav,2015.62,8,item_25p,,,1,plu,1.0,0.0
p_14b_seg1.wav,5570.29,1,item_28p,,,1,plu,0.0,1.0
p_14b_seg2.wav,1109.95,2,item_28p,,,1,plu,0.0,1.0
p_14b_seg3.wav,1034.26,3,item_28p,,,1,plu,0.0,1.0
p_14b_seg4.wav,1469.41,4,item_28p,,,1,plu,0.0,1.0
p_14b_seg5.wav,971.2,5,item_28p,,,1,plu,0.0,1.0
p_14b_seg6.wav,1349.59,6,item_28p,,,1,plu,0.0,1.0
p_14b_seg7.wav,1860.43,7,item_28p,,,1,plu,0.0,1.0
p_14b_seg8.wav,2085.42,8,item_28p,,,1,plu,0.0,1.0
p_15a_seg1.wav,5525.01,1,item_29p,,,1,plu,1.0,0.0
p_15a_seg2.wav,1112.79,2,item_29p,,,1,plu,1.0,0.0
p_15a_seg3.wav,988.41,3,item_29p,,,1,plu,1.0,0.0
p_15a_seg4.wav,1426.98,4,item_29p,,,1,plu,1.0,0.0
p_15a_seg5.wav,896.78,5,item_29p,,,1,plu,1.0,0.0
p_15a_seg6.wav,1322.24,6,item_29p,,,1,plu,1.0,0.0
p_15a_seg7.wav,2048.82,7,item_29p,,,1,plu,1.0,0.0
p_15a_seg8.wav,2356.49,8,item_29p,,,1,plu,1.0,0.0
p_16b_seg1.wav,5321.22,1,item_32p,,,1,plu,0.0,1.0
p_16b_seg2.wav,1005.67,2,item_32p,,,1,plu,0.0,1.0
p_16b_seg3.wav,937.8,3,item_32p,,,1,plu,0.0,1.0
p_16b_seg4.wav,1332.68,4,item_32p,,,1,plu,0.0,1.0
p_16b_seg5.wav,974.83,5,item_32p,,,1,plu,0.0,1.0
p_16b_seg6.wav,1215.44,6,item_32p,,,1,plu,0.0,1.0
p_16b_seg7.wav,1628.84,7,item_32p,,,1,plu,0.0,1.0
p_16b_seg8.wav,2603.65,8,item_32p,,,1,plu,0.0,1.0
p_17a_seg1.wav,5185.35,1,item_33p,,,1,plu,1.0,0.0
p_17a_seg2.wav,1034.74,2,item_33p,,,1,plu,1.0,0.0
p_17a_seg3.wav,806.15,3,item_33p,,,1,plu,1.0,0.0
p_17a_seg4.wav,1245.31,4,item_33p,,,1,plu,1.0,0.0
p_17a_seg5.wav,866.3,5,item_33p,,,1,plu,1.0,0.0
p_17a_seg6.wav,1449.84,6,item_33p,,,1,plu,1.0,0.0
p_17a_seg7.wav,1952.56,7,item_33p,,,1,plu,1.0,0.0
p_17a_seg8.wav,1852.93,8,item_33p,,,1,plu,1.0,0.0
p_18b_seg1.wav,5343.85,1,item_36p,,,1,plu,0.0,1.0
p_18b_seg2.wav,946.03,2,item_36p,,,1,plu,0.0,1.0
p_18b_seg3.wav,1227.28,3,item_36p,,,1,plu,0.0,1.0
p_18b_seg4.wav,1591.59,4,item_36p,,,1,plu,0.0,1.0
p_18b_seg5.wav,862.9,5,item_36p,,,1,plu,0.0,1.0
p_18b_seg6.wav,1041.9,6,item_36p,,,1,plu,0.0,1.0
p_18b_seg7.wav,1968.73,7,item_36p,,,1,plu,0.0,1.0
p_18b_seg8.wav,2198.84,8,item_36p,,,1,plu,0.0,1.0
p_19a_seg1.wav,5570.27,1,item_37p,,,1,plu,1.0,0.0
p_19a_seg2.wav,1188.91,2,item_37p,,,1,plu,1.0,0.0
p_19a_seg3.wav,1055.4,3,item_37p,,,1,plu,1.0,0.0
p_19a_seg4.wav,1430.52,4,item_37p,,,1,plu,1.0,0.0
p_19a_seg5.wav,960.05,5,item_37p,,,1,plu,1.0,0.0
p_19a_seg6.wav,1220.7,6,item_37p,,,1,plu,1.0,0.0
p_19a_seg7.wav,2105.99,7,item_37p,,,1,plu,1.0,0.0
p_19a_seg8.wav,2288.8,8,item_37p,,,1,plu,1.0,0.0
p_20b_seg1.wav,5502.36,1,item_40p,,,1,plu,0.0,1.0
p_20b_seg2.wav,974.01,2,item_40p,,,1,plu,0.0,1.0
p_20b_seg3.wav,843.74,3,item_40p,,,1,plu,0.0,1.0
p_20b_seg4.wav,1408.3,4,item_40p,,,1,plu,0.0,1.0
p_20b_seg5.wav,949.21,5,item_40p,,,1,plu,0.0,1.0
p_20b_seg6.wav,1259.41,6,item_40p,,,1,plu,0.0,1.0
p_20b_seg7.wav,1792.95,7,item_40p,,,1,plu,0.0,1.0
p_20b_seg8.wav,2369.93,8,item_40p,,,1,plu,0.0,1.0
p_21a_seg1.wav,6023.15,1,item_41p,,,1,plu,1.0,0.0
p_21a_seg2.wav,1444.97,2,item_41p,,,1,plu,1.0,0.0
